currency,worktime,sex,isco88,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FT,F,ISCO7-9,SE	24181.2 	23934.1 	22997.3 	22031.2 	21667.2 	23483.7 	22656.0 	21981.1 	23233.4 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO7-9,SK	: 	4767.3 	3980.1 	3612.9 	3277.0 	2943.5 	2690.1 	2339.2 	2164.6 	1924.7 	2041.2 	2010.7 	: 	: 
EUR,FT,F,ISCO7-9,UK	: 	22548.6 	21825.4 	: 	20446.2 	19394.8 	20520.6 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,AT	23633.0 	23256.5 	23175.0 	21359.0 	21912.0 	20843.0 	20610.0 	20026.1 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,CY	12744.0 	13037.9 	11629.7 	11150.9 	10579.9 	10868.0 	10033.0 	9501.3 	9429.9 	8914.0 	8326.4 	8014.9 	: 	: 
EUR,FT,F,ISCO8,DE	27900.0 	27200.0 	26655.0 	26200.0 	25700.0 	25000.0 	24400.0 	23600.0 	23000.0 	22700.0 	21851.4 	21306.9 	21406.6 	: 
EUR,FT,F,ISCO8,DK	39310.6 	37751.7 	35427.6 	34665.0 	33342.9 	32492.9 	31821.4 	30542.0 	29971.7 	28661.0 	27990.7 	26950.4 	26440.0 	: 
EUR,FT,F,ISCO8,EL	: 	: 	: 	: 	: 	14310.1 	13778.3 	12786.9 	11955.6 	11120.9 	10360.6 	9732.7 	9011.1 	8428.2 
EUR,FT,F,ISCO8,ES	: 	15666.4 	15127.4 	14232.5 	13865.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,FI	27750.0 	27884.0 	31765.0 	25782.0 	24929.0 	24052.0 	23398.0 	21992.6 	21584.2 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,IE	: 	26896.0 	: 	25451.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,IS	26385.3 	38080.6 	30674.6 	34590.3 	25959.1 	23898.9 	23677.6 	20664.7 	20414.0 	17608.4 	: 	: 	: 	: 
EUR,FT,F,ISCO8,MT	: 	: 	: 	: 	: 	10454.7 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,PL	: 	: 	: 	: 	4401.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,PT	9585 	9143.7 	8574.6 	8492.6 	8402.4 	8306.9 	8701.0 	8115.0 	7598.8 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,RO	3689.8 	3144.5 	2719.4 	2220.4 	1658.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,SE	27347.0 	26970.4 	25934.6 	24970.5 	24261.0 	24925.4 	24029.9 	23204.9 	24484.0 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO8,SK	: 	5434.9 	4539.4 	4100.8 	3719.4 	3350.3 	3071.3 	2701.5 	2433.5 	2150.3 	2289.8 	2280.2 	: 	: 
EUR,FT,F,ISCO8,UK	: 	23396.6 	23119.1 	: 	21097.5 	20000.3 	20969.1 	: 	: 	: 	: 	: 	: 	: 
